video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=s5cALjKETFA&pp=ygUUQ2hpbmVzZSBlbGVjdHJpYyBjYXI%3D,/@fullychargedshow,Fully Charged Show,THIS Is Why The Wave of Chinese EVs Is Unstoppable!,24K,16 hours,"In fact, just behind Tesla Model Y and Model 3, the Chinese owned electric vehicle brands are gaining significant ground with ...",2024-01-27 00:13:37.249116
/watch?v=mfhpBxHeewo&pp=ygUUQ2hpbmVzZSBlbGVjdHJpYyBjYXI%3D,/@CarCoachReports,Car Coach Reports,Chinese EV’s Coming to the USA - Will it Destroy The Car Market,7.9K,3 weeks,"Chinese electric car giants are building in Mexico, it's alarming the USA! Holy crap, if China starts building cars in Mexico, and is ...",2024-01-27 00:13:37.259105
/watch?v=klbAVMzYLH0&pp=ygUUQ2hpbmVzZSBlbGVjdHJpYyBjYXI%3D,/@iChongqing,iChongqing,The Rise Of China's Electric Cars | Tesla IS SHOCKED | Chongqing The Motor City,22K,13 days,"electriccars #tesla #byd Join Alex for an electrifying journey into the world of electric vehicles (EVs). In today's episode, we're ...",2024-01-27 00:13:37.266225
/watch?v=zISDaVewC5Q&pp=ygUUQ2hpbmVzZSBlbGVjdHJpYyBjYXI%3D,/@cleantech1968,Clean Tech,China’s STUNNING New Export Ban Will BANKRUPT The Entire EV Industry!,37K,2 days,"In this video, we go in-depth on the latest events surrounding China's export prohibition on rare earth metals and the possible ...",2024-01-27 00:13:37.270882
/watch?v=ASIUyfK6K4U&pp=ygUUQ2hpbmVzZSBlbGVjdHJpYyBjYXI%3D,/@Wheelsboy,Wheelsboy,This 1300 HP Chinese Electric Super Car Is Coming For Ferrari,54K,3 days,The Yangwang U9 is a quad motor electric monster with hydraulic suspension and something to prove. Want to buy a Chinese car ...,2024-01-27 00:13:37.276004
/watch?v=eNYndWedZsE&pp=ygUUQ2hpbmVzZSBlbGVjdHJpYyBjYXI%3D,/@fullychargedshow,Fully Charged Show,This Car Proves Just How Far Chinese Cars Have Come,647K,2 months,Bobby goes for a drive in perhaps the most complete and advanced Chinese EV to arrive on European shores thus far: the BYD ...,2024-01-27 00:13:46.894317
/watch?v=y2hkTNdeIxk&pp=ygUUQ2hpbmVzZSBlbGVjdHJpYyBjYXI%3D,/@electricviking,The Electric Viking,The TOP 10 electric vehicles you can buy from China,11K,1 month,The TOP 10 electric vehicles you can buy from China Get a 20% discount to Electrify Everything in Sydney from the 9th - 11th of ...,2024-01-27 00:13:46.902738
/watch?v=g7xXZdBIj90&pp=ygUUQ2hpbmVzZSBlbGVjdHJpYyBjYXI%3D,/@Reuters,Reuters,China's Xiaomi unveils first electric car | REUTERS,51K,4 weeks,"Xiaomi is the newest major player in the electric-vehicle market. The Chinese smartphone maker unveiled its first EV, a sedan ...",2024-01-27 00:13:46.912486
/watch?v=gzHLv6rLSpQ&pp=ygUUQ2hpbmVzZSBlbGVjdHJpYyBjYXI%3D,/@SupercarBlondie,Supercar Blondie,World’s Best Selling Electric Car | BYD,713K,11 months,This is the BYD Han EV... it's the best-selling electric vehicle in the world after it surpassed over 1.9 million units in 2022. The BYD ...,2024-01-27 00:13:46.915118
/watch?v=cdluSdAM59g&pp=ygUUQ2hpbmVzZSBlbGVjdHJpYyBjYXI%3D,/@carbangla-English,Chinese Car Reviewer ,2024 Xpeng X9 Electric MPV In-Depth Review ( English) | Chinese Car Reviewer,490,2 days,Hey ! This is the all-new 2024 Xpeng X9 Mpv which is a big rival of zeekr009 and denza D9. the Mpv has got 88kwh or 101kwh ...,2024-01-27 00:13:46.917546
